iso_code,date,vaccine_name,total_vaccinations
ARG,2021/1/21,Sputnik V,289756
ARG,2021/1/22,Oxford/AstraZeneca,23
ARG,2021/1/22,Sinopharm/Beijing,27
ARG,2021/1/22,Sputnik V,298976
ARG,2021/1/23,Oxford/AstraZeneca,28
ARG,2021/1/23,Sputnik V,302921
ARG,2021/1/24,Oxford/AstraZeneca,29
ARG,2021/1/24,Sputnik V,303224
ARG,2021/1/25,Oxford/AstraZeneca,37
ARG,2021/1/25,Sputnik V,317436
ARG,2021/1/26,Oxford/AstraZeneca,75
ARG,2021/1/26,Sinopharm/Beijing,28
ARG,2021/1/26,Sputnik V,330214
ARG,2021/1/27,Oxford/AstraZeneca,77
ARG,2021/1/27,Sputnik V,340327
ARG,2021/1/28,Oxford/AstraZeneca,78
ARG,2021/1/28,Sputnik V,356376
ARG,2021/1/29,Oxford/AstraZeneca,79
ARG,2021/1/29,Sputnik V,379880
ARG,2021/1/30,Sputnik V,389196
ARG,2021/1/31,CanSino,2
ARG,2021/1/31,Sinopharm/Beijing,29
ARG,2021/1/31,Sputnik V,389819
ARG,2021/2/1,Oxford/AstraZeneca,98
ARG,2021/2/1,Sinopharm/Beijing,30
ARG,2021/2/1,Sputnik V,409335
ARG,2021/2/2,Oxford/AstraZeneca,131
ARG,2021/2/2,Sputnik V,433186
ARG,2021/2/3,Oxford/AstraZeneca,139
ARG,2021/2/3,Sinopharm/Beijing,33
ARG,2021/2/3,Sputnik V,459800
ARG,2021/2/4,Moderna,2
ARG,2021/2/4,Oxford/AstraZeneca,144
ARG,2021/2/4,Sinopharm/Beijing,56
ARG,2021/2/4,Sputnik V,487914
ARG,2021/2/5,CanSino,4
ARG,2021/2/5,Oxford/AstraZeneca,149
ARG,2021/2/5,Sinopharm/Beijing,63
ARG,2021/2/5,Sputnik V,520948
ARG,2021/2/6,Sinopharm/Beijing,68
ARG,2021/2/6,Sputnik V,531875
ARG,2021/2/7,Oxford/AstraZeneca,150
ARG,2021/2/7,Sinopharm/Beijing,72
ARG,2021/2/7,Sputnik V,533255
ARG,2021/2/8,Oxford/AstraZeneca,152
ARG,2021/2/8,Sinopharm/Beijing,74
ARG,2021/2/8,Sputnik V,556688
ARG,2021/2/9,Moderna,3
ARG,2021/2/9,Oxford/AstraZeneca,154
ARG,2021/2/9,Sinopharm/Beijing,80
ARG,2021/2/9,Sputnik V,576884
ARG,2021/2/10,Oxford/AstraZeneca,157
ARG,2021/2/10,Sinopharm/Beijing,85
ARG,2021/2/10,Sputnik V,592505
ARG,2021/2/11,Oxford/AstraZeneca,160
ARG,2021/2/11,Sinopharm/Beijing,91
ARG,2021/2/11,Sputnik V,610358
ARG,2021/2/12,Oxford/AstraZeneca,161
ARG,2021/2/12,Sinopharm/Beijing,92
ARG,2021/2/12,Sputnik V,626200
ARG,2021/2/13,Oxford/AstraZeneca,163
ARG,2021/2/13,Sinopharm/Beijing,94
ARG,2021/2/13,Sputnik V,629232
ARG,2021/2/14,Sinopharm/Beijing,96
ARG,2021/2/14,Sputnik V,629383
ARG,2021/2/15,Pfizer/BioNTech,17
ARG,2021/2/15,Sinopharm/Beijing,98
ARG,2021/2/15,Sputnik V,630698
ARG,2021/2/16,Oxford/AstraZeneca,175
ARG,2021/2/16,Pfizer/BioNTech,18
ARG,2021/2/16,Sinopharm/Beijing,100
ARG,2021/2/16,Sputnik V,631996
ARG,2021/2/17,Oxford/AstraZeneca,186
ARG,2021/2/17,Sinopharm/Beijing,103
ARG,2021/2/17,Sputnik V,656399
ARG,2021/2/18,Oxford/AstraZeneca,217
ARG,2021/2/18,Pfizer/BioNTech,19
ARG,2021/2/18,Sinopharm/Beijing,107
ARG,2021/2/18,Sputnik V,720212
ARG,2021/2/19,Oxford/AstraZeneca,407
ARG,2021/2/19,Sinopharm/Beijing,108
ARG,2021/2/19,Sputnik V,787933
ARG,2021/2/20,Oxford/AstraZeneca,555
ARG,2021/2/20,Sinopharm/Beijing,109
ARG,2021/2/20,Sputnik V,820409
ARG,2021/2/21,Oxford/AstraZeneca,956
ARG,2021/2/21,Sputnik V,840190
ARG,2021/2/22,Oxford/AstraZeneca,23569
ARG,2021/2/22,Sputnik V,885173
ARG,2021/2/23,Oxford/AstraZeneca,73783
ARG,2021/2/23,Sinopharm/Beijing,111
ARG,2021/2/23,Sputnik V,921941
ARG,2021/2/24,Oxford/AstraZeneca,135888
ARG,2021/2/24,Sinopharm/Beijing,114
ARG,2021/2/24,Sputnik V,953704
ARG,2021/2/25,Oxford/AstraZeneca,189066
ARG,2021/2/25,Sinopharm/Beijing,118
ARG,2021/2/25,Sputnik V,980022
ARG,2021/2/26,Oxford/AstraZeneca,245141
ARG,2021/2/26,Sinopharm/Beijing,127
ARG,2021/2/26,Sputnik V,1005664
ARG,2021/2/27,Moderna,4
ARG,2021/2/27,Oxford/AstraZeneca,258491
ARG,2021/2/27,Sinopharm/Beijing,128
ARG,2021/2/27,Sputnik V,1010224
ARG,2021/2/28,Oxford/AstraZeneca,263842
ARG,2021/2/28,Sinopharm/Beijing,129
ARG,2021/2/28,Sputnik V,1011001
ARG,2021/3/1,Oxford/AstraZeneca,317182
ARG,2021/3/1,Sinopharm/Beijing,831
ARG,2021/3/1,Sputnik V,1031548
ARG,2021/3/2,Oxford/AstraZeneca,368832
ARG,2021/3/2,Sinopharm/Beijing,5797
ARG,2021/3/2,Sputnik V,1050580
ARG,2021/3/3,Oxford/AstraZeneca,404831
ARG,2021/3/3,Sinopharm/Beijing,23634
ARG,2021/3/3,Sputnik V,1068274
ARG,2021/3/4,Oxford/AstraZeneca,430562
ARG,2021/3/4,Sinopharm/Beijing,87942
ARG,2021/3/4,Sputnik V,1090340
ARG,2021/3/5,Oxford/AstraZeneca,454862
ARG,2021/3/5,Sinopharm/Beijing,154460
ARG,2021/3/5,Sputnik V,1111289
ARG,2021/3/6,Oxford/AstraZeneca,462781
ARG,2021/3/6,Sinopharm/Beijing,196888
ARG,2021/3/6,Sputnik V,1115893
ARG,2021/3/7,Oxford/AstraZeneca,467757
ARG,2021/3/7,Sinopharm/Beijing,203333
ARG,2021/3/7,Sputnik V,1116270
ARG,2021/3/8,Oxford/AstraZeneca,499342
ARG,2021/3/8,Pfizer/BioNTech,20
ARG,2021/3/8,Sinopharm/Beijing,256286
ARG,2021/3/8,Sputnik V,1134256
ARG,2021/3/9,Oxford/AstraZeneca,515689
ARG,2021/3/9,Sinopharm/Beijing,319405
ARG,2021/3/9,Sputnik V,1170622
ARG,2021/3/10,Oxford/AstraZeneca,527779
ARG,2021/3/10,Sinopharm/Beijing,418153
ARG,2021/3/10,Sputnik V,1223800
ARG,2021/3/11,Oxford/AstraZeneca,537726
ARG,2021/3/11,Sinopharm/Beijing,503050
ARG,2021/3/11,Sputnik V,1315876
ARG,2021/3/12,Oxford/AstraZeneca,545250
ARG,2021/3/12,Sinopharm/Beijing,564204
ARG,2021/3/12,Sputnik V,1408901
ARG,2021/3/13,Oxford/AstraZeneca,548229
ARG,2021/3/13,Sinopharm/Beijing,574711
ARG,2021/3/13,Sputnik V,1441817
ARG,2021/3/14,Oxford/AstraZeneca,548278
ARG,2021/3/14,Sinopharm/Beijing,581369
ARG,2021/3/14,Sputnik V,1444284
ARG,2021/3/15,Oxford/AstraZeneca,554702
ARG,2021/3/15,Sinopharm/Beijing,621994
ARG,2021/3/15,Sputnik V,1534889
ARG,2021/3/16,Oxford/AstraZeneca,557822
ARG,2021/3/16,Sinopharm/Beijing,656674
ARG,2021/3/16,Sputnik V,1630850
ARG,2021/3/17,Oxford/AstraZeneca,560535
ARG,2021/3/17,Sinopharm/Beijing,679655
ARG,2021/3/17,Sputnik V,1744779
ARG,2021/3/18,Moderna,6
ARG,2021/3/18,Oxford/AstraZeneca,562224
ARG,2021/3/18,Sinopharm/Beijing,701809
ARG,2021/3/18,Sputnik V,1859921
ARG,2021/3/19,Oxford/AstraZeneca,564073
ARG,2021/3/19,Pfizer/BioNTech,21
ARG,2021/3/19,Sinopharm/Beijing,725418
ARG,2021/3/19,Sputnik V,1960688
ARG,2021/3/20,Oxford/AstraZeneca,564415
ARG,2021/3/20,Sinopharm/Beijing,729358
ARG,2021/3/20,Sputnik V,2007298
ARG,2021/3/21,CanSino,5
ARG,2021/3/21,Oxford/AstraZeneca,564438
ARG,2021/3/21,Sinopharm/Beijing,729707
ARG,2021/3/21,Sputnik V,2026561
ARG,2021/3/22,Oxford/AstraZeneca,565910
ARG,2021/3/22,Sinopharm/Beijing,747109
ARG,2021/3/22,Sputnik V,2090768
ARG,2021/3/23,Oxford/AstraZeneca,570601
ARG,2021/3/23,Sinopharm/Beijing,760669
ARG,2021/3/23,Sputnik V,2179027
ARG,2021/3/24,Oxford/AstraZeneca,571879
ARG,2021/3/24,Sinopharm/Beijing,763811
ARG,2021/3/24,Sputnik V,2212076
ARG,2021/3/25,Oxford/AstraZeneca,573235
ARG,2021/3/25,Sinopharm/Beijing,774716
ARG,2021/3/25,Sputnik V,2303034
ARG,2021/3/26,Oxford/AstraZeneca,575891
ARG,2021/3/26,Sinopharm/Beijing,783894
ARG,2021/3/26,Sputnik V,2384794
ARG,2021/3/27,Moderna,7
ARG,2021/3/27,Oxford/AstraZeneca,576785
ARG,2021/3/27,Sinopharm/Beijing,786202
ARG,2021/3/27,Sputnik V,2436700
ARG,2021/3/28,Oxford/AstraZeneca,577692
ARG,2021/3/28,Pfizer/BioNTech,23
ARG,2021/3/28,Sinopharm/Beijing,786677
ARG,2021/3/28,Sputnik V,2456151
ARG,2021/3/29,Oxford/AstraZeneca,581285
ARG,2021/3/29,Pfizer/BioNTech,24
ARG,2021/3/29,Sinopharm/Beijing,798184
ARG,2021/3/29,Sputnik V,2561275
ARG,2021/3/30,Oxford/AstraZeneca,584168
ARG,2021/3/30,Pfizer/BioNTech,25
ARG,2021/3/30,Sinopharm/Beijing,808684
ARG,2021/3/30,Sputnik V,2710966
ARG,2021/3/31,Oxford/AstraZeneca,604116
ARG,2021/3/31,Sinopharm/Beijing,820699
ARG,2021/3/31,Sputnik V,2854002
ARG,2021/4/1,Oxford/AstraZeneca,629693
ARG,2021/4/1,Sinopharm/Beijing,824462
ARG,2021/4/1,Sputnik V,2941830
ARG,2021/4/2,Oxford/AstraZeneca,642518
ARG,2021/4/2,Sinopharm/Beijing,826784
ARG,2021/4/2,Sputnik V,2994853
ARG,2021/4/3,Oxford/AstraZeneca,661161
ARG,2021/4/3,Sinopharm/Beijing,827875
ARG,2021/4/3,Sputnik V,3049601
ARG,2021/4/4,Moderna,8
ARG,2021/4/4,Oxford/AstraZeneca,675558
ARG,2021/4/4,Sinopharm/Beijing,829539
ARG,2021/4/4,Sputnik V,3082037
ARG,2021/4/5,Oxford/AstraZeneca,709399
ARG,2021/4/5,Sinopharm/Beijing,858673
ARG,2021/4/5,Sputnik V,3185101
ARG,2021/4/6,Oxford/AstraZeneca,735867
ARG,2021/4/6,Sinopharm/Beijing,933831
ARG,2021/4/6,Sputnik V,3277524
ARG,2021/4/7,Oxford/AstraZeneca,766109
ARG,2021/4/7,Sinopharm/Beijing,1052158
ARG,2021/4/7,Sputnik V,3367432
ARG,2021/4/8,Oxford/AstraZeneca,790207
ARG,2021/4/8,Pfizer/BioNTech,28
ARG,2021/4/8,Sinopharm/Beijing,1182470
ARG,2021/4/8,Sputnik V,3449026
ARG,2021/4/9,Oxford/AstraZeneca,808564
ARG,2021/4/9,Sinopharm/Beijing,1330065
ARG,2021/4/9,Sputnik V,3523517
ARG,2021/4/10,Oxford/AstraZeneca,813382
ARG,2021/4/10,Sinopharm/Beijing,1384058
ARG,2021/4/10,Sputnik V,3557664
ARG,2021/4/11,Oxford/AstraZeneca,814249
ARG,2021/4/11,Sinopharm/Beijing,1416914
ARG,2021/4/11,Sputnik V,3572260
ARG,2021/4/12,Oxford/AstraZeneca,824166
ARG,2021/4/12,Sinopharm/Beijing,1512279
ARG,2021/4/12,Sputnik V,3648828
ARG,2021/4/13,Moderna,9
ARG,2021/4/13,Oxford/AstraZeneca,832513
ARG,2021/4/13,Sinopharm/Beijing,1594777
ARG,2021/4/13,Sputnik V,3744098
ARG,2021/4/14,Oxford/AstraZeneca,838958
ARG,2021/4/14,Pfizer/BioNTech,29
ARG,2021/4/14,Sinopharm/Beijing,1662164
ARG,2021/4/14,Sputnik V,3841990
ARG,2021/4/15,Oxford/AstraZeneca,843158
ARG,2021/4/15,Sinopharm/Beijing,1713353
ARG,2021/4/15,Sputnik V,3937740
ARG,2021/4/16,Oxford/AstraZeneca,846443
ARG,2021/4/16,Sinopharm/Beijing,1759468
ARG,2021/4/16,Sputnik V,4012090
ARG,2021/4/17,Oxford/AstraZeneca,847337
ARG,2021/4/17,Sinopharm/Beijing,1775587
ARG,2021/4/17,Sputnik V,4040807
ARG,2021/4/18,Oxford/AstraZeneca,848612
ARG,2021/4/18,Sinopharm/Beijing,1777850
ARG,2021/4/18,Sputnik V,4057176
ARG,2021/4/19,Oxford/AstraZeneca,864012
ARG,2021/4/19,Pfizer/BioNTech,30
ARG,2021/4/19,Sinopharm/Beijing,1802817
ARG,2021/4/19,Sputnik V,4107319
ARG,2021/4/20,Oxford/AstraZeneca,916554
ARG,2021/4/20,Sinopharm/Beijing,1826860
ARG,2021/4/20,Sputnik V,4153499
ARG,2021/4/21,CanSino,6
ARG,2021/4/21,Moderna,10
ARG,2021/4/21,Oxford/AstraZeneca,1036850
ARG,2021/4/21,Sinopharm/Beijing,1848084
ARG,2021/4/21,Sputnik V,4185991
ARG,2021/4/22,CanSino,7
ARG,2021/4/22,Oxford/AstraZeneca,1154181
ARG,2021/4/22,Sinopharm/Beijing,1863652
ARG,2021/4/22,Sputnik V,4231335
ARG,2021/4/23,Oxford/AstraZeneca,1272525
ARG,2021/4/23,Sinopharm/Beijing,1877754
ARG,2021/4/23,Sputnik V,4293495
ARG,2021/4/24,Oxford/AstraZeneca,1326393
ARG,2021/4/24,Sinopharm/Beijing,1879326
ARG,2021/4/24,Sputnik V,4330314
ARG,2021/4/25,Oxford/AstraZeneca,1358853
ARG,2021/4/25,Sinopharm/Beijing,1879701
ARG,2021/4/25,Sputnik V,4346802
ARG,2021/4/26,Oxford/AstraZeneca,1431971
ARG,2021/4/26,Pfizer/BioNTech,31
ARG,2021/4/26,Sinopharm/Beijing,1887272
ARG,2021/4/26,Sputnik V,4438277
ARG,2021/4/27,Oxford/AstraZeneca,1491104
ARG,2021/4/27,Pfizer/BioNTech,32
ARG,2021/4/27,Sinopharm/Beijing,1894634
ARG,2021/4/27,Sputnik V,4525564
ARG,2021/4/28,Oxford/AstraZeneca,1543264
ARG,2021/4/28,Pfizer/BioNTech,33
ARG,2021/4/28,Sinopharm/Beijing,1922600
ARG,2021/4/28,Sputnik V,4604497
ARG,2021/4/29,Oxford/AstraZeneca,1582029
ARG,2021/4/29,Sinopharm/Beijing,1962734
ARG,2021/4/29,Sputnik V,4681948
ARG,2021/4/30,Oxford/AstraZeneca,1612590
ARG,2021/4/30,Sinopharm/Beijing,1998906
ARG,2021/4/30,Sputnik V,4730210
ARG,2021/5/1,Oxford/AstraZeneca,1617854
ARG,2021/5/1,Sinopharm/Beijing,2002619
ARG,2021/5/1,Sputnik V,4741546
ARG,2021/5/2,Oxford/AstraZeneca,1624447
ARG,2021/5/2,Sinopharm/Beijing,2016751
ARG,2021/5/2,Sputnik V,4761002
ARG,2021/5/3,Oxford/AstraZeneca,1648072
ARG,2021/5/3,Pfizer/BioNTech,34
ARG,2021/5/3,Sinopharm/Beijing,2090739
ARG,2021/5/3,Sputnik V,4838160
ARG,2021/5/4,Oxford/AstraZeneca,1671688
ARG,2021/5/4,Sinopharm/Beijing,2184852
ARG,2021/5/4,Sputnik V,4952535
ARG,2021/5/5,Moderna,11
ARG,2021/5/5,Oxford/AstraZeneca,1696614
ARG,2021/5/5,Sinopharm/Beijing,2263457
ARG,2021/5/5,Sputnik V,5094081
ARG,2021/5/6,Oxford/AstraZeneca,1714455
ARG,2021/5/6,Pfizer/BioNTech,35
ARG,2021/5/6,Sinopharm/Beijing,2328104
ARG,2021/5/6,Sputnik V,5214494
ARG,2021/5/7,CanSino,8
ARG,2021/5/7,Oxford/AstraZeneca,1728420
ARG,2021/5/7,Sinopharm/Beijing,2424237
ARG,2021/5/7,Sputnik V,5309830
ARG,2021/5/8,Oxford/AstraZeneca,1732479
ARG,2021/5/8,Sinopharm/Beijing,2465858
ARG,2021/5/8,Sputnik V,5338442
ARG,2021/5/9,Oxford/AstraZeneca,1734219
ARG,2021/5/9,Sinopharm/Beijing,2469357
ARG,2021/5/9,Sputnik V,5351901
ARG,2021/5/10,Oxford/AstraZeneca,1744149
ARG,2021/5/10,Sinopharm/Beijing,2533539
ARG,2021/5/10,Sputnik V,5419519
ARG,2021/5/11,Moderna,12
ARG,2021/5/11,Oxford/AstraZeneca,1752428
ARG,2021/5/11,Pfizer/BioNTech,36
ARG,2021/5/11,Sinopharm/Beijing,2598396
ARG,2021/5/11,Sputnik V,5486892
ARG,2021/5/12,Moderna,13
ARG,2021/5/12,Oxford/AstraZeneca,1758213
ARG,2021/5/12,Sinopharm/Beijing,2737781
ARG,2021/5/12,Sputnik V,5539402
ARG,2021/5/13,Oxford/AstraZeneca,1763917
ARG,2021/5/13,Sinopharm/Beijing,2886514
ARG,2021/5/13,Sputnik V,5577164
ARG,2021/5/14,Oxford/AstraZeneca,1773129
ARG,2021/5/14,Sinopharm/Beijing,3034888
ARG,2021/5/14,Sputnik V,5616160
ARG,2021/5/15,Oxford/AstraZeneca,1776215
ARG,2021/5/15,Sinopharm/Beijing,3085341
ARG,2021/5/15,Sputnik V,5657740
ARG,2021/5/16,Oxford/AstraZeneca,1777690
ARG,2021/5/16,Sinopharm/Beijing,3128651
ARG,2021/5/16,Sputnik V,5680563
ARG,2021/5/17,Oxford/AstraZeneca,1785002
ARG,2021/5/17,Pfizer/BioNTech,37
ARG,2021/5/17,Sinopharm/Beijing,3224406
ARG,2021/5/17,Sputnik V,5764496
ARG,2021/5/18,Oxford/AstraZeneca,1794801
ARG,2021/5/18,Sinopharm/Beijing,3269361
ARG,2021/5/18,Sputnik V,5908051
ARG,2021/5/19,Oxford/AstraZeneca,1802159
ARG,2021/5/19,Pfizer/BioNTech,38
ARG,2021/5/19,Sinopharm/Beijing,3302721
ARG,2021/5/19,Sputnik V,6035123
ARG,2021/5/20,Oxford/AstraZeneca,1812671
ARG,2021/5/20,Sinopharm/Beijing,3338010
ARG,2021/5/20,Sputnik V,6171986
ARG,2021/5/21,Oxford/AstraZeneca,1821883
ARG,2021/5/21,Sinopharm/Beijing,3416239
ARG,2021/5/21,Sputnik V,6261871
ARG,2021/5/22,Oxford/AstraZeneca,1823410
ARG,2021/5/22,Sinopharm/Beijing,3460238
ARG,2021/5/22,Sputnik V,6316814
ARG,2021/5/23,Oxford/AstraZeneca,1823828
ARG,2021/5/23,Sinopharm/Beijing,3483118
ARG,2021/5/23,Sputnik V,6338794
ARG,2021/5/24,Oxford/AstraZeneca,1825011
ARG,2021/5/24,Pfizer/BioNTech,39
ARG,2021/5/24,Sinopharm/Beijing,3502612
ARG,2021/5/24,Sputnik V,6406514
ARG,2021/5/25,Oxford/AstraZeneca,1847096
ARG,2021/5/25,Sinopharm/Beijing,3505794
ARG,2021/5/25,Sputnik V,6444687
ARG,2021/5/26,Oxford/AstraZeneca,1873978
ARG,2021/5/26,Sinopharm/Beijing,3539384
ARG,2021/5/26,Sputnik V,6537383
ARG,2021/5/27,Oxford/AstraZeneca,1919458
ARG,2021/5/27,Sinopharm/Beijing,3572646
ARG,2021/5/27,Sputnik V,6628122
ARG,2021/5/28,Oxford/AstraZeneca,2011851
ARG,2021/5/28,Sinopharm/Beijing,3601561
ARG,2021/5/28,Sputnik V,6752992
ARG,2021/5/29,Oxford/AstraZeneca,2121797
ARG,2021/5/29,Pfizer/BioNTech,40
ARG,2021/5/29,Sinopharm/Beijing,3611469
ARG,2021/5/29,Sputnik V,6860677
ARG,2021/5/30,Oxford/AstraZeneca,2180952
ARG,2021/5/30,Sinopharm/Beijing,3613093
ARG,2021/5/30,Sputnik V,6928797
ARG,2021/5/31,Oxford/AstraZeneca,2308189
ARG,2021/5/31,Sinopharm/Beijing,3630002
ARG,2021/5/31,Sputnik V,7083773
ARG,2021/6/1,Oxford/AstraZeneca,2457293
ARG,2021/6/1,Sinopharm/Beijing,3643564
ARG,2021/6/1,Sputnik V,7236106
ARG,2021/6/2,CanSino,9
ARG,2021/6/2,Oxford/AstraZeneca,2620882
ARG,2021/6/2,Sinopharm/Beijing,3656714
ARG,2021/6/2,Sputnik V,7368824
ARG,2021/6/3,Oxford/AstraZeneca,2843840
ARG,2021/6/3,Sinopharm/Beijing,3668939
ARG,2021/6/3,Sputnik V,7483394
ARG,2021/6/4,Oxford/AstraZeneca,3148989
ARG,2021/6/4,Sinopharm/Beijing,3684805
ARG,2021/6/4,Sputnik V,7570686
ARG,2021/6/5,Oxford/AstraZeneca,3426780
ARG,2021/6/5,Sinopharm/Beijing,3689488
ARG,2021/6/5,Sputnik V,7615100
ARG,2021/6/6,Oxford/AstraZeneca,3614714
ARG,2021/6/6,Sinopharm/Beijing,3691524
ARG,2021/6/6,Sputnik V,7642546
ARG,2021/6/7,Oxford/AstraZeneca,3894247
ARG,2021/6/7,Sinopharm/Beijing,3700897
ARG,2021/6/7,Sputnik V,7706944
ARG,2021/6/8,Oxford/AstraZeneca,4171756
ARG,2021/6/8,Sinopharm/Beijing,3709017
ARG,2021/6/8,Sputnik V,7791329
ARG,2021/6/9,CanSino,11
ARG,2021/6/9,Moderna,14
ARG,2021/6/9,Oxford/AstraZeneca,4430847
ARG,2021/6/9,Pfizer/BioNTech,41
ARG,2021/6/9,Sinopharm/Beijing,3715817
ARG,2021/6/9,Sputnik V,7897877
ARG,2021/6/10,Moderna,15
ARG,2021/6/10,Oxford/AstraZeneca,4654797
ARG,2021/6/10,Pfizer/BioNTech,42
ARG,2021/6/10,Sinopharm/Beijing,3721875
ARG,2021/6/10,Sputnik V,8003023
ARG,2021/6/11,Oxford/AstraZeneca,4839025
ARG,2021/6/11,Sinopharm/Beijing,3732616
ARG,2021/6/11,Sputnik V,8174936
ARG,2021/6/12,Oxford/AstraZeneca,4905056
ARG,2021/6/12,Sinopharm/Beijing,3744701
ARG,2021/6/12,Sputnik V,8281989
ARG,2021/6/13,Oxford/AstraZeneca,4949720
ARG,2021/6/13,Sinopharm/Beijing,3746527
ARG,2021/6/13,Sputnik V,8318201
ARG,2021/6/14,Oxford/AstraZeneca,5076666
ARG,2021/6/14,Sinopharm/Beijing,3757166
ARG,2021/6/14,Sputnik V,8418740
ARG,2021/6/15,Oxford/AstraZeneca,5206038
ARG,2021/6/15,Pfizer/BioNTech,43
ARG,2021/6/15,Sinopharm/Beijing,3762952
ARG,2021/6/15,Sputnik V,8541505
ARG,2021/6/16,Oxford/AstraZeneca,5391821
ARG,2021/6/16,Sinopharm/Beijing,3767770
ARG,2021/6/16,Sputnik V,8638124
ARG,2021/6/17,Moderna,16
ARG,2021/6/17,Oxford/AstraZeneca,5620996
ARG,2021/6/17,Sinopharm/Beijing,3774100
ARG,2021/6/17,Sputnik V,8717092
ARG,2021/6/18,Moderna,17
ARG,2021/6/18,Oxford/AstraZeneca,5945812
ARG,2021/6/18,Pfizer/BioNTech,46
ARG,2021/6/18,Sinopharm/Beijing,3780003
ARG,2021/6/18,Sputnik V,8785785
ARG,2021/6/19,Oxford/AstraZeneca,6132373
ARG,2021/6/19,Sinopharm/Beijing,3782576
ARG,2021/6/19,Sputnik V,8829293
ARG,2021/6/20,Oxford/AstraZeneca,6210332
ARG,2021/6/20,Sinopharm/Beijing,3782874
ARG,2021/6/20,Sputnik V,8850261
ARG,2021/6/21,Oxford/AstraZeneca,6348677
ARG,2021/6/21,Pfizer/BioNTech,47
ARG,2021/6/21,Sinopharm/Beijing,3784175
ARG,2021/6/21,Sputnik V,8880373
ARG,2021/6/22,Oxford/AstraZeneca,6576265
ARG,2021/6/22,Pfizer/BioNTech,48
ARG,2021/6/22,Sinopharm/Beijing,3790127
ARG,2021/6/22,Sputnik V,8934835
ARG,2021/6/23,Oxford/AstraZeneca,6770159
ARG,2021/6/23,Sinopharm/Beijing,3814479
ARG,2021/6/23,Sputnik V,8979841
ARG,2021/6/24,Oxford/AstraZeneca,6945336
ARG,2021/6/24,Sinopharm/Beijing,3887654
ARG,2021/6/24,Sputnik V,9036092
ARG,2021/6/25,CanSino,12
ARG,2021/6/25,Moderna,18
ARG,2021/6/25,Oxford/AstraZeneca,7165000
ARG,2021/6/25,Pfizer/BioNTech,50
ARG,2021/6/25,Sinopharm/Beijing,3997544
ARG,2021/6/25,Sputnik V,9083436
ARG,2021/6/26,Oxford/AstraZeneca,7358283
ARG,2021/6/26,Sinopharm/Beijing,4089367
ARG,2021/6/26,Sputnik V,9114712
ARG,2021/6/27,Oxford/AstraZeneca,7457541
ARG,2021/6/27,Sinopharm/Beijing,4147242
